Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,24027,197
1185998661417403,Ivan Korčok,Ivan Korčok,22763,187
557862947737785,Progresívne Slovensko,Progresívne Slovensko,17401,141
147166706140048,Martin Hojsík,Martin Hojsík,14450,336
186953775142661,ESET,"ESET, spol. s r.o.",12319,82
1928247723902365,Humánny pokrok,Humánny pokrok,11753,240
101736658825990,Plán obnovy a odolnosti SR,Úrad vlády Slovenskej republiky,10456,33
109628675248068,JOJ 24,JOJ 24,9719,42
193258414360612,Milan Uhrík • Republika,REPUBLIKA,9613,28
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,7479,46
1287561881391098,Jem pre Zem,Humánny pokrok,7285,144
278117815576023,EU Justice and Consumers,EU Justice and Consumers,7130,13
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,7044,3344
162176693837904,Orange,Orange,6407,28
732167026967322,Robert Fico,SMER - SD,6344,74
109669047774695,Brainee.sk,Mafra Slovakia a.s.,5982,1857
188067335135140,Strabag Slovensko,Strabag Slovensko,5831,112
178362315106,European Parliament,European Parliament,5516,348
163449818290,KDH,KDH,5167,156
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,5098,38
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",4978,17
102146246492040,SMER - SSD,SMER - SD,4904,106
122074554119,EU Social,"Európska Komisia - Zamestnanosť, sociálne záležitosti a začlenenie",4049,8
171511222871512,Televízia JOJ,Televízia JOJ,3986,18
134871799897346,UNICEF Slovensko,Slovenská nadácia pre UNICEF,3885,21
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,3565,34
324560137683033,Ivan ŠTEFANEC,Ivan ŠTEFANEC,3481,77
2631817786833672,Michal Wiezik • Za zelenú Európu,Michal Wiezik,3468,21
101581228190723,Epoch Times Slovensko,Epoch Times Slovensko,3244,43
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,2779,25
475005065849814,Zastúpenie Európskej komisie na Slovensku,Zastúpenie Európskej komisie na Slovensku,2604,68
484734501561007,Kaufland Slovenská republika,Kaufland Slovenská republika v.o.s.,2534,22
132166557016,Liga za duševné zdravie SR,Liga za duševné zdravie SR,2287,42
409652449379928,"Ministerstvo investícií, regionálneho rozvoja a informatizácie SR","Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",2000,1
237493046280813,Katarina Roth Nevedalova,Katarina Roth Nevedalova,1951,78
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,1899,137
594790970995799,Miriam Lexmann,Miriam Lexmann,1853,33
207289726707929,Milan Mazurek • Republika,REPUBLIKA,1800,6
283025969119,Odpady-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,1733,171
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,1714,52
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,1622,107
"1,47284E+15",Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,1611,60
1428899270704224,Správy RTVS,Rozhlas a televízia Slovenska,1542,14
309315359104222,Milan Majerský,KDH,1507,38
101069575386725,Slovensko Zálohuje,‍Správca zálohového systému n.o.,1502,9
178878375475789,Energie-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,1497,208
136261775977,SITA Webnoviny,SITA Slovenská tlačová agentúra a.s.,1482,1016
1009998019021765,Forró Krisztián,"Szövetség – Magyarok, nemzetiségek, régiók. Aliancia – Maďari, národnosti, regióny.",1303,15
184459384971877,Vagus,Vagus,1292,16
107898832590939,European Commission,European Commission,1260,21
264610253564449,Hyundai Slovensko,Hyundai Motor Czech s.r.o.,1213,16
101038892907757,Mikuláš Dzurinda,"Modrí, Most - Híd",1203,3
730919327293761,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,1163,32
2001358070115171,Jaro Polaček,Jaroslav Polaček,1143,48
403027089864701,Peter Pellegrini,Peter Pellegrini,1132,40
634042709987309,Post Bellum SK / Príbehy 20. storočia,Post Bellum SK,1132,9
105947861630687,DEMDIS,DemDis,1060,17
106092371358835,Za právny štát,Občianske združenie ZA DEMOKRACIU A PRÁVNY ŠTÁT,1054,40
139025019440898,Inštitút ľudských práv - Human Rights Institute,Inštitút ľudských práv - Human Rights Institute,1049,32
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,1048,7
1902930980016117,MY Regióny,"Petit Press, a.s., Divízia týždenníkov, o. z.",1043,7
100686359349358,Martina Holečková,KDH,1030,30
100686359349358,Martina Holečková,Martina Holečková,1030,42
239366402785275,Ministerstvo vnútra SR,Ministerstvo vnútra SR,1011,13
253595649968,Monika Beňová,Monika Beňová,1005,229
802573516467334,Juraj Blanár,SMER - SD,993,66
108134068532405,Zdravotnícke správy,Zdravotnícke správy,987,30
1410201375938843,WWF Slovakia,WWF Slovensko,987,14
133590787230331,Erik Kaliňák,SMER - SD,976,15
104856174769143,Robert Kaliňák,SMER - SD,967,25
561521547213921,CUS - Centrum účtovníkov Slovenska,"CUS - Centrum účtovníkov Slovenska, s. r. o.",965,53
273928075965909,ODYSEUS,Občianske združenie Odyseus,958,18
1461718484118285,Niké je tipovanie,Niké je tipovanie,919,13
102200698451761,Gyimesi György,Gyimesi György,900,13
741515582611947,KOŠICE:DNES,"KOŠICE: DNES ONLINE, družstvo",886,8
106658612291527,Detstvo bez násilia,Detstvo bez násilia,818,128
344709529755622,SAPI,SAPI,818,30
104893459551069,Ekotopfilm SK,Ekotopfilm SK,767,36
829246250528166,Republiková únia zamestnávateľov,Republiková únia zamestnávateľov,762,17
829031324096235,Orosz Örs,Orosz Örs,759,5
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,759,59
110198307912855,Marián Ďuriš • Republika,Marián Ďuriš • Republika,756,37
53798312370,EURACTIV.sk,EURACTIV.sk,753,78
106288718665197,Sloboda vierovyznania a presvedčenia,Úrad vlády Slovenskej republiky,692,5
1846501408935178,Marek Vagovič,Media Forum s. r. o.,685,22
111164132915070,Maxin’s Group,Maxin’s Group,652,15
136836609695627,PLUS 7 DNÍ,News and Media Holding a.s.,639,34
2308492039426614,Úrad vlády Slovenskej republiky,Úrad vlády Slovenskej republiky,609,4
100233499613453,Kamil Šaško,Kamil Šaško,606,51
103570085607177,Juraj Gedra,SMER - SD,606,15
453854651758070,Rado Ocharovich - Váš poslanec za centrum,Rado Ocharovich - Váš poslanec za centrum,595,4
2114747078615092,Tibor Gašpar,SMER - SD,590,11
"1,60122E+15",Konfederácia odborových zväzov Slovenskej republiky - KOZ SR,Konfederácia odborových zväzov Slovenskej republiky - KOZ SR,577,142
1552624815015371,SPP - distribúcia,SPP - distribúcia,575,4
588989111148781,Košický samosprávny kraj,Košický samosprávny kraj,558,14
225595329628,Plus JEDEN DEŇ,"News and Media Holding, a.s.",530,24
112242151814194,Cementáreň pre komunity,Cementáreň pre komunity,528,15
104936221959583,Úrad na ochranu oznamovateľov,Úrad na ochranu oznamovateľov,521,17
166688783394167,Bratislava - hlavné mesto SR,Mesto Bratislava,510,5
102013346622578,Petržalka,Mestská časť Bratislava-Petržalka,508,10
214399691750828,"Ako dobre, že si",Liga za duševné zdravie SR,506,8
106390307409654,Bystriny,Bystriny,504,22
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,491,12
105321095696057,Modrí,Modrí,489,2
207289726707929,Milan Mazurek • Republika,Milan Mazurek,487,7
889169094587556,Ján Richter,Ján Richter,478,28
105696625616469,Richard Glück,SMER - SD,451,12
1643155275828458,Ján Mažgút,SMER - SD,450,27
109606527580798,Politics.social,Gerulata Technologies j. s. a.,450,1
725174507568923,Banskobystrický samosprávny kraj,Banskobystrický samosprávny kraj,439,10
571160823088196,Mladí proti fašizmu,"Mladí, o.z.",422,4
49067816623,Pravda,Pravda,418,11
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,415,6
1861438584151524,Checkbot,Checkbot,408,42
1440322059428783,Chuť žiť,EDI Slovensko,400,12
111977983820589,Ján Ferenčák,Ján Ferenčák,396,28
167499746617461,U.S. Embassy Slovakia,U.S. Embassy Slovakia,384,4
104051965408887,Róbert Zsembera,Róbert Zsembera,374,22
260762020631472,Mesto Nitra,Mesto Nitra,362,4
119877164545027,Dajme STOP parkovaciemu teroru,Aliancia SK 1,354,15
185250998217953,Asociácia zamestnávateľských zväzov a združení SR (AZZZ SR),AZZZ SR,338,108
101591588392040,Asociácia nemocníc Slovenska,Asociácia nemocníc Slovenska,331,46
111410950299518,Iván Tamás,Szövetség - Iván Tamás,323,18
965539580259604,Infinite MedStyle,These ads ran without a disclaimer,309,1
111630235350587,Dalimír Solčanský,Dalimír Solčanský,302,50
307556876112136,Peter Pollák,Hnutie SLOVENSKO,289,8
2143280622390205,Investigatívne centrum Jána Kuciaka,Investigatívne centrum Jána Kuciaka,279,10
52904571954,Slovnaft,"Slovnaft, a.s.",275,6
45533785629,Nadácia Pontis,Nadácia Pontis,274,8
113616772019641,EVA - Hriešne dobrá,"News and Media Holding, a.s.",269,12
403027089864701,Peter Pellegrini,HLAS - sociálna demokracia,260,14
168426906521039,Konzervatívny inštitút M. R. Štefánika,Konzervatívny inštitút M. R. Štefánika,259,7
100196311600238,Tomáš Köppl - Demokrati,Tomáš Köppl - Demokrati,256,5
288447254691571,Veronika Remišová,ZA ĽUĎÍ,255,13
490554141116681,Mesto Prešov - Oficiálna stránka,Mesto Prešov - Oficiálna stránka,250,2
288680881434,Iniciatíva Inakosť,Iniciatíva Inakosť,244,7
119718562044151,Voda-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,243,36
207791952957118,PS:Events,"PS:Events, s.r.o.",242,6
38050018641,SME,These ads ran without a disclaimer,241,3
730919327293761,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,Miroslav Radačovský,233,6
2687957954762822,Igor Melicher - Štátny tajomník ministerstva obrany SR,SMER - SD,220,21
1198279137015143,Zmudri.sk,Zmudri.sk,219,2
109550528803652,Slovmatic Poker SNV,"SLOV-MATIC, s.r.o.",219,4
110914051965554,MySlovensko,MySlovensko,217,15
196250908064,Epi.sk,Poradca podnikateľa,212,2
202736663810117,AZAH - Asociácia zábavy a hier,Asociácia zábavy a hier,212,7
1243405345708614,Peter Cibulka - starám sa o Žilinu,Peter Cibulka,212,4
1191145050917884,CORWIN,CORWIN,210,12
114022154063401,Centrum vzdelávacích analýz,Centrum vzdelávacích analýz,208,15
437888136331346,Michal Kaliňák - HLAS Regiónov,Michal Kaliňák - HLAS Regiónov,203,21
166299516557839,Headline News,These ads ran without a disclaimer,200,2
349293725124595,IPčko,IPčko,199,6
182383984954583,Trnavské referendum o parkovaní,Trnava parkuje s rozumom,190,11
53390100905,INESS,INESS,189,9
117447874625060,Medicamentum o. z.,These ads ran without a disclaimer,187,1
273654778349,ČSOB,"Československá obchodná banka, a.s.",187,1
108617908185210,Za slobodu slova,Inštitút pre paradigmatické reformy,183,1
457124584400548,Rasťo TRNKA,Rastislav Trnka,180,2
239932899943551,Nové mesto,"Vydavateľstvo Nové mesto, s.r.o.",180,5
443163935751338,Košice - Mesto Košice,Mesto Košice,178,4
1293379587429941,Braňo Gigac za lepšiu Prievidzu,Braňo Gigac za lepšiu Prievidzu,177,49
370204800385466,"Saplinq, o.z.",PRIDE Košice,176,8
109384878088719,Puffy Joe‘s Records,These ads ran without a disclaimer,165,2
107730405200716,Spotlight.news,These ads ran without a disclaimer,163,1
117702164538164,Záhradkársky Veľtrh Trenčín,Záhradkársky Veľtrh Trenčín,160,11
102232092476868,Adam Lučanský - poslanec NR SR,Adam Lučanský - poslanec NR SR,160,3
1302786386541766,Metropolitný inštitút Bratislavy,Metropolitný inštitútut Bratislavy,156,4
185784721289451,Braňo Ondruš,Braňo Ondruš,155,5
1246198415483598,Milan Ftorek - Reštart Martina,Milan Ftorek - Reštart Martina,150,5
822009714820627,Robert Hajšel,Robert Hajšel,148,14
"1,44981E+15",My sme les,My sme les,145,9
1.22099144312008E+017,Zväz stavebných podnikateľov Slovenska,Zväz stavebných podnikateľov Slovenska,142,9
2447007241979269,Luciána Hoptová,Luciána Hoptová,135,10
299290007518897,Adnan AKRAM - Váš poslanec,Adnan AKRAM - Váš poslanec,130,6
102200698451761,Gyimesi György,SZÖVETSÉG - ALIANCIA,129,2
101376491395473,Roman Mikulec,Hnutie SLOVENSKO,125,1
"1,18633E+15",Viktorio.sk,Viktorio,124,26
108501111443753,Artur Bekmatov,Socialisti.sk,121,16
1659408844318781,Slovensko.Digital,Slovensko.Digital,120,3
147547541961576,Council of the European Union,Council of the European Union,113,31
193514507352190,Rulezz.sk,MARKETERS s.r.o.,113,29
101764124720853,Zuzana Plevíková - poslankyňa NR SR,SMER - SD,112,17
150005588344408,Slovak Foreign Policy Association,Slovak Foreign Policy Association,110,7
164172194810,VIA IURIS,VIA IURIS,110,3
690215231040900,Agócs Gergely,Agócs Gergely,110,2
106666545678536,ozdravme.sk,ozdravme s.r.o.,108,7
494723137298389,Nadácia televízie Markíza,These ads ran without a disclaimer,106,7
115158133613256,OZ Rodičia.sk,Rodičia.sk,106,10
2111014852242575,Martin Búry • DOMOV národná strana,Martin Búry • DOMOV národná strana,103,5
